"昭和６０年","人口（人）_総数_総数","人口（人）_総数_15歳未満","人口（人）_総数_15～64歳","人口（人）_総数_65歳以上","人口（人）_男_総数","人口（人）_男_15歳未満","人口（人）_男_15～64歳","人口（人）_男_65歳以上","人口（人）_女_総数","人口（人）_女_15歳未満","人口（人）_女_15～64歳","人口（人）_女_65歳以上","割合（％）_総数_15歳未満","割合（％）_総数_15～64歳","割合（％）_総数_65歳以上","割合（％）_男_15歳未満","割合（％）_男_15～64歳","割合（％）_男_65歳以上","割合（％）_女_15歳未満","割合（％）_女_15～64歳","割合（％）_女_65歳以上"
"30000_和歌山県","1087206.0","225208.0","718380.0","143533.0","520172.0","115824.0","347063.0","57240.0","567034.0","109384.0","371317.0","86293.0","20.714381635127104","66.07579428369601","13.20200587561143","22.26648108702506","66.72081542259099","11.00405250570965","19.290554005579914","65.48408031969865","15.21831142400632"
"30201_和歌山市","401352.0","84472.0","274083.0","42764.0","192907.0","43434.0","132793.0","16662.0","208445.0","41038.0","141290.0","26102.0","21.046861607765752","68.2899300364767","10.654986146823736","22.51551265635773","68.83783377482415","8.637322647700705","19.687687399553838","67.78286838254695","12.522248075031783"
"30202_海南市","50779.0","9585.0","33559.0","7633.0","23903.0","4903.0","15994.0","3005.0","26876.0","4682.0","17565.0","4628.0","18.87591327123417","66.08834360660903","15.031804486106463","20.512069614692717","66.91210308329498","12.571643726728862","17.420747134990325","65.35570769459741","17.21982437862777"
"30203_橋本市","40483.0","9050.0","26375.0","5058.0","19465.0","4598.0","12850.0","2017.0","21018.0","4452.0","13525.0","3041.0","22.35506261887706","65.15080404120248","12.49413333992046","23.621885435396866","66.01592602106344","10.362188543539688","21.18184413359977","64.34960510039014","14.468550766010086"
"30204_有田市","35401.0","7696.0","23105.0","4600.0","16839.0","3887.0","11085.0","1867.0","18562.0","3809.0","12020.0","2733.0","21.73949888421231","65.26651789497471","12.993983220812972","23.083318486846014","65.82932478175664","11.087356731397351","20.520418058398878","64.75595302230363","14.723628919297491"
"30205_御坊市","30450.0","6421.0","20067.0","3962.0","14813.0","3321.0","9883.0","1609.0","15637.0","3100.0","10184.0","2353.0","21.08702791461412","65.90147783251231","13.011494252873563","22.419496388307568","66.71842300681834","10.862080604874096","19.824774573127836","65.12758201701094","15.047643409861228"
"30206_田辺市","70835.0","16081.0","46073.0","8673.0","33616.0","8244.0","21940.0","3430.0","37219.0","7837.0","24133.0","5243.0","22.702054069316016","65.0427048775323","12.243947201242324","24.52403617325083","65.26653974297953","10.203474535935268","21.05644966280663","64.84053843467046","14.08689110400602"
"30207_新宮市","38231.0","7769.0","24968.0","5474.0","17901.0","4009.0","11697.0","2184.0","20330.0","3760.0","13271.0","3290.0","20.321205304595747","65.30825769663362","14.318223431246894","22.395396905200826","65.34271828389475","12.200435729847495","18.49483521888834","65.27791441219873","16.1829808165273"
"30301_下津町","16439.0","3250.0","10813.0","2374.0","7864.0","1665.0","5273.0","924.0","8575.0","1585.0","5540.0","1450.0","19.770059006022265","65.77650708680576","14.441267717014416","21.172431332655137","67.05239064089523","11.749745676500508","18.483965014577258","64.6064139941691","16.909620991253643"
"30302_野上町","9779.0","1927.0","6208.0","1643.0","4693.0","992.0","3031.0","669.0","5086.0","935.0","3177.0","974.0","19.705491359034667","63.48297371919419","16.801308927293178","21.137864905177924","64.58555295120392","14.255273812060516","18.383798662996462","62.46559182068423","19.15060951631931"
