"平成７年","人口（人）_総数_総数","人口（人）_総数_15歳未満","人口（人）_総数_15～64歳","人口（人）_総数_65歳以上","人口（人）_男_総数","人口（人）_男_15歳未満","人口（人）_男_15～64歳","人口（人）_男_65歳以上","人口（人）_女_総数","人口（人）_女_15歳未満","人口（人）_女_15～64歳","人口（人）_女_65歳以上","割合（％）_総数_15歳未満","割合（％）_総数_15～64歳","割合（％）_総数_65歳以上","割合（％）_男_15歳未満","割合（％）_男_15～64歳","割合（％）_男_65歳以上","割合（％）_女_15歳未満","割合（％）_女_15～64歳","割合（％）_女_65歳以上"
"30405_日置川町","5185.0","733.0","2999.0","1453.0","2464.0","402.0","1451.0","611.0","2721.0","331.0","1548.0","842.0","14.136933461909354","57.83992285438766","28.02314368370299","16.314935064935064","58.88798701298701","24.79707792207792","12.164645350973908","56.89084895259096","30.944505696435133"
"30406_すさみ町","6066.0","809.0","3374.0","1883.0","2829.0","430.0","1636.0","763.0","3237.0","379.0","1738.0","1120.0","13.33663039894494","55.62149686778767","31.04187273326739","15.19971721456345","57.82962177447861","26.970661010957937","11.708371949335806","53.691689836268154","34.59993821439605"
"30407_串本町","16382.0","2394.0","9762.0","4226.0","7594.0","1203.0","4742.0","1649.0","8788.0","1191.0","5020.0","2577.0","14.613600293004517","59.58979367598584","25.796606031009645","15.841453779299448","62.44403476428759","21.714511456412957","13.552571688666362","57.1233500227583","29.32407828857533"
"30421_那智勝浦町","19943.0","2867.0","12389.0","4687.0","9180.0","1461.0","5883.0","1836.0","10763.0","1406.0","6506.0","2851.0","14.375971518828662","62.12204783633355","23.50198064483779","15.91503267973856","64.08496732026144","20.0","13.063272321843353","60.44783053052123","26.488897147635416"
"30422_太地町","3907.0","544.0","2363.0","1000.0","1734.0","267.0","1097.0","370.0","2173.0","277.0","1266.0","630.0","13.923726644484258","60.481187611978505","25.59508574353724","15.397923875432525","63.26412918108419","21.337946943483278","12.747353888633226","58.2604693971468","28.992176714219976"
"30423_古座町","6139.0","829.0","3576.0","1734.0","2798.0","419.0","1686.0","693.0","3341.0","410.0","1890.0","1041.0","13.503827985013848","58.25052940218277","28.24564261280339","14.974982130092924","60.25732666190136","24.76769120800572","12.271774917689314","56.569889254714155","31.158335827596527"
"30424_古座川町","3884.0","408.0","2036.0","1440.0","1788.0","201.0","992.0","595.0","2096.0","207.0","1044.0","845.0","10.50463439752832","52.42018537590113","37.075180226570545","11.241610738255034","55.48098434004475","33.277404921700224","9.875954198473282","49.80916030534351","40.31488549618321"
"30425_熊野川町","2144.0","297.0","1113.0","734.0","1032.0","158.0","552.0","322.0","1112.0","139.0","561.0","412.0","13.852611940298507","51.91231343283582","34.23507462686567","15.310077519379844","53.48837209302325","31.2015503875969","12.5","50.44964028776978","37.05035971223021"
"30426_本宮町","4123.0","557.0","2185.0","1381.0","1947.0","291.0","1068.0","588.0","2176.0","266.0","1117.0","793.0","13.50958040261945","52.995391705069125","33.49502789231143","14.946070878274268","54.853620955315876","30.20030816640986","12.224264705882353","51.33272058823529","36.443014705882355"
"30427_北山村","593.0","54.0","325.0","214.0","275.0","29.0","156.0","90.0","318.0","25.0","169.0","124.0","9.106239460370995","54.80607082630692","36.08768971332209","10.545454545454545","56.72727272727273","32.72727272727273","7.861635220125786","53.144654088050316","38.9937106918239"
